author,name
https://dblp.org/pid/10/1216,Jonathan Crabtree
https://dblp.org/pid/10/1300,Gerald Baumgartner
https://dblp.org/pid/10/1491-6,Jingbo Wang
https://dblp.org/pid/10/1529,Alexey Loginov
https://dblp.org/pid/10/2128,Eric E. Schmidt
https://dblp.org/pid/10/2168,Michael J. Freiling
https://dblp.org/pid/10/2449-2,Matthew J. Johnson
https://dblp.org/pid/10/2594,Suparna Bhattacharya
https://dblp.org/pid/10/2942,Derek White
https://dblp.org/pid/10/3457,Michael Norrish
https://dblp.org/pid/10/3476,Christian Convey
https://dblp.org/pid/10/3766,Jacob Johannsen
https://dblp.org/pid/10/3783,Hugo Pacheco
https://dblp.org/pid/10/3823,Richard A. DeMillo
https://dblp.org/pid/10/3878,Wenyuan Xu
https://dblp.org/pid/10/3908,Boris Köpf
https://dblp.org/pid/10/3995,Frank Zdybel
https://dblp.org/pid/10/4506,Frank DeRemer
https://dblp.org/pid/10/4661-22,Wei Zhang
https://dblp.org/pid/10/4661-4,Wei Zhang
https://dblp.org/pid/10/4661-59,Wei Zhang
https://dblp.org/pid/10/4768,J. Ángel Velázquez-Iturbide
https://dblp.org/pid/10/4870,Orit Edelstein
https://dblp.org/pid/10/5037,Steven Berson
https://dblp.org/pid/10/5443,Joe Duffy
https://dblp.org/pid/10/551,Jean-Francois Collard
https://dblp.org/pid/10/5529,Emilio Tuosto
https://dblp.org/pid/10/5699,Ganesh Sittampalam
https://dblp.org/pid/10/6494,Paul Adamczyk
https://dblp.org/pid/10/65,Noah Torp-Smith
https://dblp.org/pid/10/6909,Richard Jones
https://dblp.org/pid/10/6924,Horatiu Cirstea
https://dblp.org/pid/10/7536,Zeyuan Allen Zhu
https://dblp.org/pid/10/7583-1,Stefan Brunthaler
https://dblp.org/pid/10/8280,Ramyaa
https://dblp.org/pid/10/8523,Guangtai Liang
https://dblp.org/pid/10/8656,David Darais
https://dblp.org/pid/10/88,Marie-Laure Mugnier
https://dblp.org/pid/10/964-2,Zhiqiang Zuo
https://dblp.org/pid/11/1000,Nick Collins
https://dblp.org/pid/11/1029,Gennaro Parlato
https://dblp.org/pid/11/10317,Johannes Åman Pohjola
https://dblp.org/pid/11/10454,Jean-Baptiste Jeannin
https://dblp.org/pid/11/10954,Gangwon Jo
https://dblp.org/pid/11/11235,Ted Kaminski
